,word_count,char_count,punctuation_count,uppercase_count,digit_count,newline_count,exclamation_count,question_count,uppercase_ratio,any_keyword,target_jailbreak
word_count,1.0,0.9924027412459382,0.49896002171119425,,0.46063317006778975,,0.3490109050543334,0.11422257332395631,,0.44221968826228886,0.49132323183214593
char_count,0.9924027412459382,1.0,0.42896600402979373,,0.48134581404875953,,0.3530778818344661,0.11556679779610082,,0.4512601260225456,0.49513061125509605
punctuation_count,0.49896002171119425,0.42896600402979373,1.0,,0.1875992384874309,,0.1571757991384444,0.05243612488258049,,0.12446185655552225,0.2035113950663714
uppercase_count,,,,,,,,,,,
digit_count,0.46063317006778975,0.48134581404875953,0.1875992384874309,,1.0,,0.11329801207618984,0.20290587270244725,,0.0689033241667673,0.10148925952826379
newline_count,,,,,,,,,,,
exclamation_count,0.3490109050543334,0.3530778818344661,0.1571757991384444,,0.11329801207618984,,1.0,0.14132989591728878,,0.20720808436326937,0.2216807016452226
question_count,0.11422257332395631,0.11556679779610082,0.05243612488258049,,0.20290587270244725,,0.14132989591728878,1.0,,-0.060507538189684705,-0.0981105699187813
uppercase_ratio,,,,,,,,,,,
any_keyword,0.44221968826228886,0.4512601260225456,0.12446185655552225,,0.0689033241667673,,0.20720808436326937,-0.060507538189684705,,1.0,0.49266280207899893
target_jailbreak,0.49132323183214593,0.49513061125509605,0.2035113950663714,,0.10148925952826379,,0.2216807016452226,-0.0981105699187813,,0.49266280207899893,1.0
