,,benign,jailbreak
word_count,count,516.0,515.0
word_count,mean,85.70348837209302,329.6135922330097
word_count,median,36.5,259.0
word_count,std,145.1881513374232,269.49942105167383
word_count,min,4.0,4.0
word_count,max,1939.0,1973.0
word_count,skew,5.814898900851613,1.7782411403714453
word_count,kurt,56.563519643023746,5.6437480417059565
char_count,count,516.0,515.0
char_count,mean,509.74612403100775,1933.219417475728
char_count,median,220.0,1523.0
char_count,std,865.2419109983365,1542.244146749321
char_count,min,25.0,33.0
char_count,max,11927.0,11833.0
char_count,skew,6.158521739951388,1.7533972047004338
char_count,kurt,63.67376295520632,6.179221185310546
punctuation_count,count,516.0,515.0
punctuation_count,mean,17.294573643410853,82.00194174757281
punctuation_count,median,6.0,57.0
punctuation_count,std,29.62055258677703,218.4405866122199
punctuation_count,min,0.0,1.0
punctuation_count,max,394.0,4809.0
punctuation_count,skew,5.7869510703889295,19.840549420911685
punctuation_count,kurt,56.04982499588694,428.7091695622154
uppercase_count,count,516.0,515.0
uppercase_count,mean,0.0,0.0
uppercase_count,median,0.0,0.0
uppercase_count,std,0.0,0.0
uppercase_count,min,0.0,0.0
uppercase_count,max,0.0,0.0
uppercase_count,skew,0.0,0.0
uppercase_count,kurt,0.0,0.0
digit_count,count,516.0,515.0
digit_count,mean,3.49031007751938,6.766990291262136
digit_count,median,0.0,1.0
digit_count,std,15.009443729489572,17.076506652281985
digit_count,min,0.0,0.0
digit_count,max,254.0,226.0
digit_count,skew,10.829263533960871,6.913755193335154
digit_count,kurt,158.852386176013,66.77280101203776
newline_count,count,516.0,515.0
newline_count,mean,0.0,0.0
newline_count,median,0.0,0.0
newline_count,std,0.0,0.0
newline_count,min,0.0,0.0
newline_count,max,0.0,0.0
newline_count,skew,0.0,0.0
newline_count,kurt,0.0,0.0
exclamation_count,count,516.0,515.0
exclamation_count,mean,0.24612403100775193,0.9048543689320389
exclamation_count,median,0.0,0.0
exclamation_count,std,0.8473170084105345,1.8684029802612607
exclamation_count,min,0.0,0.0
exclamation_count,max,6.0,19.0
exclamation_count,skew,3.9102809662166558,4.129212128901711
exclamation_count,kurt,15.777071636290778,24.695492279958692
question_count,count,516.0,515.0
question_count,mean,0.5949612403100775,0.39029126213592236
question_count,median,0.0,0.0
question_count,std,1.007107652506666,1.0700662333683357
question_count,min,0.0,0.0
question_count,max,13.0,10.0
question_count,skew,4.5990561256480795,4.270808230533741
question_count,kurt,45.17291900807226,23.865009776105612
uppercase_ratio,count,516.0,515.0
uppercase_ratio,mean,0.0,0.0
uppercase_ratio,median,0.0,0.0
uppercase_ratio,std,0.0,0.0
uppercase_ratio,min,0.0,0.0
uppercase_ratio,max,0.0,0.0
uppercase_ratio,skew,0.0,0.0
uppercase_ratio,kurt,0.0,0.0
