feature,chi2_score
dan,31.936324416822917
chatgpt,20.812553897364012
prompt,17.618528401813148
user,13.71526276498059
response,13.4027903458257
respond,13.190169398625581
character,12.850440626996235
responses,12.699980521936862
mode,12.617941621787319
ai,11.548492964353557
rules,10.77352166189089
content,10.4530905673121
openai,9.770449668147918
illegal,9.050686556340867
developer mode,6.9459034453362385
say,6.937572519859257
request,6.913604336297523
like,6.81377832260534
unethical,6.740694590895362
jailbreak,6.704582505917225
guidelines,6.4262182799539636
gpt,6.3804943614232865
review,6.010466662239048
policies,5.91066963740454
options,5.869949067305889
information,5.866893327613582
developer,5.837420199378473
following question,5.7527157250024
ethics,5.684634734803998
example,5.595636821369207
model,5.565077371392951
restrictions,5.472028993737511
reply,5.425036793613203
code,5.369529959107
matter,5.284209741555741
remember,5.158532264679181
start,5.132548979560835
output,5.050889058670293
provide,4.951634833157561
unfiltered,4.798069799565123
language model,4.791668634389731
insert,4.789565446715674
history,4.763665652900821
format,4.760002580889102
moral,4.759364024571109
answer following,4.723153793959783
chat history,4.685238884125718
warnings,4.661774561280634
mode enabled,4.594450809226705
enabled,4.590477926782002
ryx,4.587030946703903
way,4.572870829483534
break,4.5717984209378555
care,4.567234843314358
break character,4.513413104661877
stay character,4.464644841813515
ethical,4.421301840184579
series,4.40862254727719
fictional,4.350857536908377
harmful,4.239618418335623
immoral,4.2107859781521775
follow,4.16336546373951
free,4.161303487868878
message,4.119316590423591
instructions,4.095904200492784
answers,4.008193192280714
simulate,3.93634272100416
hypothesis,3.8501435416703007
stay,3.805832420976391
opinions,3.794830223474592
don,3.790031241140134
insert prompt,3.7737138863655124
completely,3.719944377651875
anarchy,3.7155292759182577
doesn,3.678076902439929
know,3.6748047927166176
article,3.5880526150866094
normal,3.559572544849173
prompts,3.558053355991143
remind,3.500225136135069
laws,3.486000961198628
translate,3.4836396908657417
tokens,3.476748833544089
ignore,3.4675624064668633
refuse,3.4523858433629746
opposite,3.4354291870910014
alphabreak,3.3981703232318727
internet,3.3961210975663727
young,3.317478859960528
persona,3.291083840912342
morals,3.2207366789827447
policy,3.2114066411446354
access,3.165610205138252
saying,3.1641595968795793
swear,3.1154350267721
commands,3.0629989286811417
forget,3.0528044294021344
chatgpt dan,3.0426419321650986
amoral,3.035547110068422
requests,3.0248572090993453
chatgpt developer,3.0160168494721757
openai content,3.0025907942286016
able,3.0011614907212927
send,2.9943824722909884
morality,2.9821200152435954
premise,2.9791590070017664
dialogue,2.978816432415428
tweet,2.9535404090812287
family,2.9327691304854606
limitations,2.9321771531902776
home,2.914173234863453
explicit,2.913077258638178
filters,2.896436405902702
use,2.860677244798689
offensive,2.8603914789324927
unethical illegal,2.8411919257870353
options yes,2.8200548514941133
sentiment,2.8169744456374066
hypothetical,2.8105210229816926
second way,2.8093233908666506
ask,2.7723631679524265
ucar,2.760457921778108
house,2.7450762756515097
text,2.7288568762704024
legal,2.71201979149998
programming,2.7120180743710467
respond prompt,2.711434757421284
dude,2.697949014942139
bob,2.695988099912812
ii,2.6869605957955534
replies,2.6828773909336423
exactly,2.674432951393258
uncensored,2.654901944640274
personality,2.6324289227899236
going,2.6310005088466375
does care,2.624802576139888
nraf,2.614916270912731
sorry,2.6070756485705986
legality,2.598786947101971
dan responses,2.5917937236221658
did,2.5836288799048255
normally,2.581174701961367
dont,2.5804048498891747
bot,2.579324199331835
dragon,2.574460037616843
acting,2.566159775026607
children,2.5652198767074297
group,2.5510549874452906
detective,2.5299190875276336
inform,2.529146855920826
write sentence,2.5265242451642296
rule,2.5219316367694016
standard,2.5200291944510007
importance,2.5038979504954444
want,2.5034308083233183
stands,2.502487950753374
abide,2.4864939332729854
command,2.4853314293827804
city,2.447260946645776
fuck,2.4208016554269127
asuka,2.3991632313045184
asuka langley,2.3991632313045184
langley,2.3991632313045184
powers,2.386132911716492
chatgpt response,2.3858283510773686
content policy,2.382936084188773
village,2.3816362608178077
include,2.3702895099981554
let,2.3632317392511455
amp,2.359108765541519
verified,2.350303246689064
roleplay,2.348653240479936
outputs,2.3419142228482617
ai language,2.3385596015804557
confines,2.3155968591602347
dan mode,2.312499680191616
animal,2.3120410264984375
censorship,2.3090919046930427
gt,2.2991913919690288
hello,2.294863468599777
reasoning,2.2931879368128563
film,2.2904867584033006
messages,2.271182506504092
profanity,2.2665553944561108
product,2.2657662812316666
howard,2.255560310433754
basedgpt,2.2431545783924296
extreme,2.242813112042108
regardless,2.238850079874799
forest,2.2224161887800404
answering,2.2207628678117715
2022,2.2101748111326205
ambitious,2.1980637997621186
comply,2.1822241722995757
classic,2.1787596537126372
movie,2.171620864709473
girl,2.165629552948195
typical,2.1520145809552895
like dan,2.1513415460766554
content policies,2.1387743475706875
survive,2.1319529066678125
info,2.1288460446387103
end,2.1288078873182728
bound,2.1273563900931682
rules set,2.120708929079206
brother,2.118315518301773
yes possible,2.1154344234494724
possible tell,2.1154344234494724
chatbot,2.1047685492220607
select,2.103631082999054
begin,2.097945562555531
