class,bigram,frequency
benign,answer question,48
benign,chat history,46
benign,following question,40
benign,answer following,39
benign,please answer,25
benign,step step,21
benign,guinea pig,20
benign,video game,18
benign,united states,16
benign,movie plot,16
benign,new york,14
benign,options yes,14
benign,take army,14
benign,army country,14
benign,country khan,14
jailbreak,developer mode,260
jailbreak,will always,244
jailbreak,mode enabled,243
jailbreak,will never,198
jailbreak,anything now,186
jailbreak,chatgpt developer,138
jailbreak,stay character,133
jailbreak,chatgpt dan,126
jailbreak,act like,116
jailbreak,break character,113
jailbreak,language model,113
jailbreak,dan mode,106
jailbreak,will say,102
jailbreak,none responses,101
jailbreak,must always,96
