group,feature,confidence,lower,upper,width,method
Overall,word_count,0.9,194.80722343346653,220.27328093122796,25.466057497761426,t
Overall,word_count,0.95,192.36372500136406,222.71677936333043,30.35305436196637,t
Overall,word_count,0.99,187.58136968821063,227.49913467648386,39.917764988273234,t
Overall,char_count,0.9,1147.0531745826524,1294.5316944765136,147.47851989386118,t
Overall,char_count,0.95,1132.9024356172226,1308.6824334419434,175.7799978247208,t
Overall,char_count,0.99,1105.2069557317946,1336.3779133273715,231.17095759557697,t
Benign,word_count,0.9,75.1713754942838,96.23560124990225,21.064225755618452,t
Benign,word_count,0.95,73.14676682675919,98.26020991742685,25.11344309066766,t
Benign,word_count,0.99,69.17870984039757,102.22826690378847,33.04955706339089,t
Benign,char_count,0.9,446.98049619360063,572.5117518684149,125.53125567481425,t
Benign,char_count,0.95,434.9149367359174,584.5773113260981,149.66237459018066,t
Benign,char_count,0.99,411.26748907436115,608.2247589876544,196.9572699132932,t
Jailbreak,word_count,0.9,310.04475932165707,349.1824251443623,39.13766582270523,t
Jailbreak,word_count,0.95,306.2829791566172,352.94420530940215,46.661226152784934,t
Jailbreak,word_count,0.99,298.91017694055876,360.3170075254606,61.406830584901854,t
Jailbreak,char_count,0.9,1821.2343234132725,2045.2045115381836,223.97018812491115,t
Jailbreak,char_count,0.95,1799.7070658842924,2066.731769067164,267.02470318287146,t
Jailbreak,char_count,0.99,1757.5152829910878,2108.9235519603685,351.4082689692807,t
