n,mean,sample_sd,standard_error,confidence,critical_value,margin_of_error,lower,upper,method,group,feature,assumption_note
1031,207.54025218234725,248.3379041554565,7.73416937911215,0.9,1.6463343540508812,12.733028748880708,194.80722343346653,220.27328093122796,t,Overall,word_count,Population SD unknown; t interval used.
1031,207.54025218234725,248.3379041554565,7.73416937911215,0.95,1.9622698233078264,15.1765271809832,192.36372500136406,222.71677936333043,t,Overall,word_count,Population SD unknown; t interval used.
1031,207.54025218234725,248.3379041554565,7.73416937911215,0.99,2.580610989467082,19.958882494136613,187.58136968821063,227.49913467648386,t,Overall,word_count,Population SD unknown; t interval used.
1031,1220.792434529583,1438.1694748631487,44.7899661241301,0.9,1.6463343540508812,73.73925994693059,1147.0531745826524,1294.5316944765136,t,Overall,char_count,Population SD unknown; t interval used.
1031,1220.792434529583,1438.1694748631487,44.7899661241301,0.95,1.9622698233078264,87.88999891236031,1132.9024356172226,1308.6824334419434,t,Overall,char_count,Population SD unknown; t interval used.
1031,1220.792434529583,1438.1694748631487,44.7899661241301,0.99,2.580610989467082,115.58547879778847,1105.2069557317946,1336.3779133273715,t,Overall,char_count,Population SD unknown; t interval used.
516,85.70348837209302,145.18815133742322,6.391551971638806,0.9,1.6478177639082496,10.53211287780922,75.1713754942838,96.23560124990225,t,Benign,word_count,Population SD unknown; t interval used.
516,85.70348837209302,145.18815133742322,6.391551971638806,0.95,1.9645809970804742,12.556721545333835,73.14676682675919,98.26020991742685,t,Benign,word_count,Population SD unknown; t interval used.
516,85.70348837209302,145.18815133742322,6.391551971638806,0.99,2.5854093974391112,16.524778531695446,69.17870984039757,102.22826690378847,t,Benign,word_count,Population SD unknown; t interval used.
516,509.74612403100775,865.2419109983372,38.090151236470035,0.9,1.6478177639082496,62.7656278374071,446.98049619360063,572.5117518684149,t,Benign,char_count,Population SD unknown; t interval used.
516,509.74612403100775,865.2419109983372,38.090151236470035,0.95,1.9645809970804742,74.83118729509036,434.9149367359174,584.5773113260981,t,Benign,char_count,Population SD unknown; t interval used.
516,509.74612403100775,865.2419109983372,38.090151236470035,0.99,2.5854093974391112,98.47863495664662,411.26748907436115,608.2247589876544,t,Benign,char_count,Population SD unknown; t interval used.
515,329.6135922330097,269.49942105167406,11.875563385485936,0.9,1.6478235411777797,19.56883291135262,310.04475932165707,349.1824251443623,t,Jailbreak,word_count,Population SD unknown; t interval used.
515,329.6135922330097,269.49942105167406,11.875563385485936,0.95,1.9645900004126684,23.330613076392485,306.2829791566172,352.94420530940215,t,Jailbreak,word_count,Population SD unknown; t interval used.
515,329.6135922330097,269.49942105167406,11.875563385485936,0.99,2.5854281010344327,30.70341529245094,298.91017694055876,360.3170075254606,t,Jailbreak,word_count,Population SD unknown; t interval used.
515,1933.219417475728,1542.2441467493204,67.95939690387866,0.9,1.6478235411777797,111.98509406245557,1821.2343234132725,2045.2045115381836,t,Jailbreak,char_count,Population SD unknown; t interval used.
515,1933.219417475728,1542.2441467493204,67.95939690387866,0.95,1.9645900004126684,133.51235159143567,1799.7070658842924,2066.731769067164,t,Jailbreak,char_count,Population SD unknown; t interval used.
515,1933.219417475728,1542.2441467493204,67.95939690387866,0.99,2.5854281010344327,175.7041344846403,1757.5152829910878,2108.9235519603685,t,Jailbreak,char_count,Population SD unknown; t interval used.
