n,mean,sample_sd,standard_error,confidence,critical_value,margin_of_error,lower,upper,method,group,feature,assumption_note
1031,207.54025218234725,248.3379041554565,7.73416937911215,0.9,1.6448536269514722,12.721576554689635,194.8186756276576,220.2618287370369,z_plugin,Overall,word_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
1031,207.54025218234725,248.3379041554565,7.73416937911215,0.95,1.959963984540054,15.158693433392326,192.38155874895492,222.69894561573958,z_plugin,Overall,word_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
1031,1220.792434529583,1438.1694748631487,44.7899661241301,0.9,1.6448536269514722,73.67293823030897,1147.119496299274,1294.465372759892,z_plugin,Overall,char_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
1031,1220.792434529583,1438.1694748631487,44.7899661241301,0.95,1.959963984540054,87.78672047206408,1133.005714057519,1308.579155001647,z_plugin,Overall,char_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
516,85.70348837209302,145.18815133742322,6.391551971638806,0.9,1.6448536269514722,10.513167442398922,75.1903209296941,96.21665581449194,z_plugin,Benign,word_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
516,85.70348837209302,145.18815133742322,6.391551971638806,0.95,1.959963984540054,12.527211669728032,73.17627670236499,98.23070004182105,z_plugin,Benign,word_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
516,509.74612403100775,865.2419109983372,38.090151236470035,0.9,1.6448536269514722,62.652723412437844,447.0934006185699,572.3988474434456,z_plugin,Benign,char_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
516,509.74612403100775,865.2419109983372,38.090151236470035,0.95,1.959963984540054,74.65532458916508,435.0907994418427,584.4014486201728,z_plugin,Benign,char_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
515,329.6135922330097,269.49942105167406,11.875563385485936,0.9,1.6448536269514722,19.533563506708646,310.08002872630107,349.1471557397183,z_plugin,Jailbreak,word_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
515,329.6135922330097,269.49942105167406,11.875563385485936,0.95,1.959963984540054,23.27567653167499,306.3379157013347,352.8892687646847,z_plugin,Jailbreak,word_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
515,1933.219417475728,1542.2441467493204,67.95939690387866,0.9,1.6448536269514722,111.78326048277945,1821.4361569929486,2045.0026779585075,z_plugin,Jailbreak,char_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
515,1933.219417475728,1542.2441467493204,67.95939690387866,0.95,1.959963984540054,133.19797034266503,1800.021447133063,2066.417387818393,z_plugin,Jailbreak,char_count,Lecture z formula demonstrated with sample SD as plug-in; not a known-sigma CI.
