feature,coefficient,signal
chatgpt,2.9306267190747928,jailbreak
prompt,2.8405945095384277,jailbreak
user,2.358067274009784,jailbreak
character,2.308520425331368,jailbreak
ai,2.2192443707873384,jailbreak
dan,2.132577616858219,jailbreak
response,2.0727712145947823,jailbreak
responses,2.008467361643706,jailbreak
respond,1.9414986193341524,jailbreak
rules,1.641529609158055,jailbreak
mode,1.5963075604176586,jailbreak
say,1.5167829768749748,jailbreak
content,1.485864576790548,jailbreak
openai,1.45613013940727,jailbreak
like,1.4479684230307286,jailbreak
illegal,1.368871859385006,jailbreak
provide,1.2180659609623645,jailbreak
information,1.2089551032589978,jailbreak
code,1.117536136467281,jailbreak
reply,1.0932557360969604,jailbreak
use,1.088785238193113,jailbreak
request,1.0688126800727002,jailbreak
gpt,1.0179848007162848,jailbreak
unethical,1.016356178757732,jailbreak
output,1.0116048483177715,jailbreak
example,1.0023559396260702,jailbreak
ethics,0.9822444412016655,jailbreak
text,0.9541095111155361,jailbreak
model,0.9500306125138219,jailbreak
raven,0.9289239568346044,jailbreak
jailbreak,0.926634442345498,jailbreak
want,0.9167512234174402,jailbreak
remember,0.9115346938366785,jailbreak
policies,0.9085000918199315,jailbreak
start,0.9048312086376186,jailbreak
answers,0.8997310498902078,jailbreak
matter,0.8825651209511872,jailbreak
guidelines,0.8755532651008278,jailbreak
way,0.8522297058674088,jailbreak
fictional,0.8490443055667238,jailbreak
restrictions,0.8363576755899251,jailbreak
dialogue,0.8186140799260487,jailbreak
know,0.8128370607898808,jailbreak
care,0.797361361487213,jailbreak
instructions,0.782938999409384,jailbreak
ethical,0.7801491352916972,jailbreak
follow,0.7622312756438011,jailbreak
insert,0.7590954433470711,jailbreak
language model,0.7583390125571924,jailbreak
message,0.7578297345926285,jailbreak
game,0.7505312649744792,jailbreak
free,0.7368630171929706,jailbreak
format,0.7367020080380802,jailbreak
moral,0.7265538048573345,jailbreak
persona,0.7195994319068488,jailbreak
end,0.7181582486207685,jailbreak
topic,0.713083859079696,jailbreak
tyrone,0.7032237615630916,jailbreak
unfiltered,0.6944828888903699,jailbreak
answer,0.6917872952853823,jailbreak
understand,0.6873877373564685,jailbreak
alphabreak,0.6796778830128187,jailbreak
let,0.6778609112055538,jailbreak
completely,0.6733501406590262,jailbreak
opposite,0.6721882411037821,jailbreak
